stream,stream_name,chunk_time,mediasample_time,device_time,chunk_time_delta_to_lastofstream,media_time_delta_to_lastofstream
10,Smarttrack_data,341958906,341958900,-1,18521,18522
9,HeadTracking_Out,341959558,341959552,-1,17987,17987
4,Image0,341960017,341954365,-1,18350,18506
16,HetAlgoResult,341960492,341960486,-1,19002,19005
5,Image1,341963014,341957357,-1,18150,18506
2,CANA,341966485,341955744,-1,10229,9750
2,CANA,341976253,341965986,-1,9768,10242
10,Smarttrack_data,341977420,341977414,-1,18514,18514
9,HeadTracking_Out,341977543,341977539,-1,17985,17987
4,Image0,341978809,341972871,-1,18792,18506
16,HetAlgoResult,341979501,341979495,-1,19009,19009
5,Image1,341981633,341975863,-1,18619,18506
2,CANA,341986468,341973672,-1,10215,7686
2,CANA,341986505,341973838,-1,37,166
2,CANA,341986522,341974080,-1,17,242
2,CANA,341986537,341975744,-1,15,1664
2,CANA,341986553,341977888,-1,16,2144
2,CANA,341986569,341978022,-1,16,134
6,Env_Cam,341991696,341980882,-1,37087,36987
10,Smarttrack_data,341995854,341995846,-1,18434,18432
16,HetAlgoResult,341997530,341997512,-1,18029,18017
